name,f_high,f_low
FK3 8,0.219867,0.588001
FK3 9,0.195663,0.491015
FK4 1,0.009830,0.014085
FK4 2,0.066365,0.067334
FK5 3,0.008115,0.015903
FK5 4,0.003168,0.003400
FK6 5,0.004843,0.007106
FK6 6,0.092619,0.133294
FK7 0,0.001054,0.001967
FK7 1,0.004568,0.008524
FK7 7,0.019088,0.041757
FK7 8,0.000901,0.001681
FK7 9,0.010487,0.011282
FK8 1,0.163323,0.263357
FK8 2,0.011515,0.017856
FK8 3,0.074833,0.105053
FK9 4,0.116083,0.151849
FK9 5,0.109320,0.494326
FY1 1,0.001493,0.005496
FY1 2,0.000648,0.002384
FY1 3,0.000746,0.002748
FY1 4,0.000760,0.002799
FY1 5,0.011350,0.055886
FY1 6,0.014940,0.045218
FY1 9,0.002914,0.010730
FY2 0,0.009476,0.044094
FY2 9,0.000496,0.002153
FY3 0,0.000768,0.001064
FY3 7,0.000228,0.000317
FY3 8,0.000306,0.000424
FY3 9,0.008102,0.008202
FY4 1,0.032815,0.051903
FY4 2,0.000722,0.001478
FY4 3,0.000750,0.001535
FY4 4,0.000501,0.001025
FY4 5,0.004524,0.020842
FY5 1,0.020734,0.123460
FY5 2,0.005035,0.019731
FY5 3,0.276831,0.469378
FY5 4,0.006817,0.022291
FY5 5,0.026510,0.052812
FY5 9,0.077035,0.151888
FY6 0,0.223678,0.332842
FY6 6,0.042365,0.071441
FY6 7,0.027905,0.059760
FY6 8,0.026665,0.060950
FY6 9,0.179337,0.326260
FY7 6,0.038408,0.461324
FY7 7,0.001424,0.389567
FY7 8,0.001218,0.027440
FY7 9,0.014737,0.282020
FY8 1,0.008690,0.009374
FY8 2,0.000919,0.001611
FY8 3,0.000775,0.001359
FY8 4,0.033822,0.067433
FY8 5,0.014370,0.019596
FY8 9,0.005691,0.009980
G1 1,0.000698,0.004184
G1 2,0.001173,0.007034
G1 3,0.001156,0.006934
G1 4,0.001109,0.006649
G1 5,0.009160,0.071910
G11 5,0.005531,0.007800
G11 6,0.130970,0.183410
G11 7,0.003599,0.005075
G11 9,0.041209,0.058113
G12 0,0.003974,0.004369
G12 8,0.000251,0.017495
G12 9,0.000179,0.000592
G13 1,0.004951,0.006388
G13 2,0.014396,0.016029
G13 3,0.004932,0.006364
G13 4,0.284960,0.369353
G13 9,0.064110,0.082727
G14 0,0.039935,0.054959
G14 9,0.001552,0.002174
G15 6,0.073878,0.096883
G15 7,0.122863,0.131842
G15 8,0.089509,0.099372
G2 1,0.000494,0.000905
G2 2,0.000395,0.000724
G2 3,0.000423,0.000776
G2 4,0.000266,0.000488
G2 5,0.000494,0.000905
G2 6,0.000483,0.000887
G2 7,0.000504,0.000925
G2 8,0.000402,0.000736
G2 9,0.000215,0.000395
G20 0,0.011232,0.011290
G20 2,0.003330,0.003869
G20 6,0.000396,0.000461
G20 7,0.000463,0.000537
G20 8,0.000370,0.000430
G20 9,0.000447,0.000519
G21 1,0.000124,0.000227
G21 2,0.000100,0.000184
G21 3,0.000066,0.000120
G21 4,0.000087,0.000160
G22 5,0.000156,0.000286
G22 6,0.000124,0.000227
G22 7,0.000139,0.000256
G22 9,0.001100,0.002019
G23 5,0.013663,0.013947
G3 6,0.016352,0.023743
G3 7,0.004144,0.005273
G3 8,0.047240,0.056862
G31 1,0.000379,0.000482
G31 2,0.000231,0.000293
G31 3,0.000280,0.000355
