name,sev_rel,dwellings
BL1 3,0.7479,4349
BL1 4,0.7951,4193
BL1 5,1.0757,5251
BL1 6,0.8747,3937
BL1 7,1.0027,3935
BL1 8,0.8074,5002
BL1 9,0.7492,381
BL11 1,0.7407,171
BL2 1,0.7860,2067
BL2 2,0.7737,4343
BL2 3,0.9610,3785
BL2 4,1.0412,2390
BL2 5,0.8224,4311
BL2 6,0.8169,5143
BL3 1,0.8367,5611
BL3 2,0.8003,3991
BL3 3,0.7705,5414
BL3 4,0.8853,6017
BL3 5,0.7387,3080
BL3 6,0.7395,2522
BL4 0,0.7911,4254
BL4 4,0.9149,22
BL4 7,0.7580,3464
BL4 8,0.7905,3792
BL4 9,0.7600,4055
BL5 1,1.0307,1339
BL5 2,0.9057,5403
BL5 3,0.9235,6431
BL6 4,1.1905,2975
BL6 5,0.9037,4883
BL6 6,0.9552,3656
BL6 7,0.8482,3395
BL6 9,0.9149,269
BL7 0,1.2356,1465
BL7 8,1.1934,254
BL7 9,1.0594,5455
BL78 1,0.7627,81
BL78 7,0.7645,12
BL8 1,0.9213,5644
BL8 2,0.9785,4245
BL8 3,0.9844,3465
BL8 4,1.1194,2669
BL8 9,0.7948,529
BL9 0,0.7711,1897
BL9 5,0.9169,2906
BL9 6,0.8400,4861
BL9 7,0.7964,4568
BL9 8,0.9942,3756
BL9 9,0.8444,4825
BN1 1,0.9072,1274
BN1 2,0.8883,3156
BN1 3,0.8913,6164
BN1 4,0.8868,4830
BN1 5,1.0621,4563
BN1 6,1.0570,8104
BN1 7,0.9045,3545
BN1 8,1.0647,6231
BN1 9,0.9237,3361
BN10 7,0.9830,4029
BN10 8,0.9739,5249
BN10 9,0.9740,115
BN11 1,0.8489,2067
BN11 2,0.9294,4349
BN11 3,0.8893,3210
BN11 4,0.8875,4137
BN11 5,1.0513,3272
BN11 9,0.8448,667
BN12 4,1.1415,3978
BN12 5,1.2141,2698
BN12 6,0.9763,3444
BN12 9,1.4375,173
BN13 1,0.9635,3916
BN13 2,0.9827,4881
BN13 3,1.1331,4884
BN14 0,1.2328,2559
BN14 7,0.9899,4694
BN14 8,0.9220,2946
BN14 9,1.1179,3270
BN15 0,1.0046,3633
BN15 5,0.9358,124
BN15 8,0.9240,4085
BN15 9,0.9568,4481
BN16 1,1.1840,3437
BN16 2,1.1824,3908
BN16 3,1.0344,3802
BN16 4,1.2112,3569
BN16 9,1.0590,604
BN17 5,0.9013,3672
BN17 6,1.0038,5901
BN17 7,0.9234,5287
BN18 0,1.1350,5414
BN18 8,1.2662,68
BN18 9,1.1985,2540
BN2 0,0.8827,3776
BN2 1,0.8806,6162
BN2 3,0.8570,5609
BN2 4,0.8814,7612
BN2 5,0.9729,6444
BN2 6,1.0318,4133
BN2 7,1.2518,2167
BN2 8,1.0753,4195
BN2 9,0.8909,5713
BN20 0,1.4429,820
BN20 7,1.1536,3659
BN20 8,1.0423,3529
BN20 9,1.1557,2436
BN21 1,1.0431,3630
BN21 2,1.0215,4224
BN21 3,0.8410,3600
BN21 4,0.9577,2685
BN21 9,0.9166,416
BN22 0,0.9963,4608
BN22 7,0.8752,3286
BN22 8,0.9066,4221
BN22 9,0.8788,3168
BN23 5,1.1480,3338
BN23 6,1.0015,3471
BN23 7,0.9096,4063
BN23 8,0.9651,3009
BN24 5,1.1437,3216
BN24 6,0.9930,1884
BN24 9,1.0361,94
BN25 1,0.9533,2509
BN25 2,1.1245,3553
BN25 3,1.0497,3919
BN25 4,1.2583,1948
BN25 9,0.8798,98
BN26 5,1.1054,3001
BN26 6,1.0273,3610
BN26 9,0.8998,84
BN27 1,1.0723,3423
BN27 2,0.9096,2708
BN27 3,1.0538,5295
BN27 4,1.1594,3234
BN27 9,1.0163,589
BN3 1,0.9150,6252
BN3 2,0.9428,5239
BN3 3,0.8856,6529
BN3 4,1.1083,3651
BN3 5,0.9807,5152
BN3 6,1.2946,4853
BN3 7,1.0262,4740
BN3 8,0.9846,3464
BN41 1,0.8892,3284
BN41 2,0.9611,6267
BN41 9,0.9344,376
BN42 4,0.9962,4504
BN43 5,1.0922,5706
BN43 6,0.9878,4937
BN43 9,0.9403,370
BN44 3,1.1898,4724
BN45 7,1.2671,364
BN5 0,1.2970,110
BN5 9,1.2368,3581
BN50 8,0.9408,383
BN50 9,0.9408,106
BN51 9,1.2016,192
BN52 9,0.8545,800
BN6 0,1.0159,87
BN6 8,1.2344,4387
BN6 9,1.2340,4374
BN7 1,1.1322,3843
BN7 2,1.0106,3367
BN7 3,1.3082,1692
BN7 9,1.0317,589
BN8 4,1.2960,2778
BN8 5,1.2060,2875
BN8 6,1.2290,1946
BN88 1,0.9317,102
BN9 0,0.9766,2074
BN9 1,0.8254,83
BN9 9,0.9362,4275
BN95 1,0.9584,13
BN99 3,0.9996,68
BN99 4,1.0508,51
BN99 6,0.8874,538
BN99 8,0.8515,535
BN99 9,0.8542,226
BR1 1,1.1253,1379
BR1 2,1.4270,5334
BR1 3,1.1767,5468
BR1 4,1.0908,6188
BR1 5,1.0094,6808
BR1 9,1.1250,722
BR2 0,1.2502,5665
BR2 6,1.5273,1242
BR2 7,1.3763,3576
BR2 8,1.2424,4316
BR2 9,1.1720,6254
BR3 1,1.1525,4976
BR3 3,1.3524,5467
BR3 4,1.1086,6234
BR3 5,1.2369,3652
BR3 6,1.4863,2465
BR3 9,1.0351,379
BR4 0,1.3584,3573
BR4 4,1.2308,93
BR4 9,1.3736,4037
BR5 1,1.4065,4932
BR5 2,1.0773,5415
BR5 3,1.0275,4561
BR5 4,1.0852,4853
BR6 0,1.2731,4273
BR6 1,1.1641,347
BR6 6,1.3510,2657
BR6 7,1.3144,4000
BR6 8,1.4367,3359
BR6 9,1.2967,6039
BR7 5,1.5030,3556
BR7 6,1.3232,4478
BR7 9,1.0313,31
BR8 7,1.0584,7180
BR8 8,1.1151,2999
BR8 9,0.9584,168
BS1 1,0.8812,744
BS1 2,0.8729,1119
BS1 3,0.8270,1951
BS1 4,0.9904,1172
BS1 5,0.9819,2578
BS1 6,0.9314,4906
BS1 9,0.8565,394
BS10 5,0.8736,3986
BS10 6,0.8784,5097
BS10 7,0.9058,4367
BS11 0,0.8264,4690
BS11 1,0.8111,64
BS11 8,0.8274,255
BS11 9,0.8629,3473
BS13 0,0.7849,4121
BS13 7,0.8780,4013
BS13 8,0.8378,3549
BS13 9,0.8026,2702
BS14 0,0.9633,5065
BS14 8,0.8939,3863
BS14 9,0.9129,4865
BS15 0,0.8560,221
BS15 1,0.8545,5400
BS15 3,0.9899,4334
BS15 4,0.8923,5680
BS15 8,0.8917,3396
BS15 9,0.9127,3317
BS16 0,0.8986,234
BS16 1,1.0469,7022
BS16 2,0.9164,4608
BS16 3,0.8506,3608
BS16 4,0.8475,4298
BS16 5,0.9106,4792
BS16 6,1.0678,4790
BS16 7,1.1227,5444
BS16 9,0.9880,4111
