district,cwd_yr_clim_mm,smd_jja_clim_mm
BH21 4,332.95,131.82
BH21 5,308.79,126.74
BH21 6,324.78,126.86
BH21 7,327.16,129.87
BH21 8,314.13,126.99
BH21 9,322.79,128.51
BH22 0,338.03,131.11
BH22 2,333.22,130.52
BH22 8,329.14,130.7
BH22 9,332.0,130.53
BH23 1,306.76,129.18
BH23 2,311.18,128.71
BH23 3,299.08,127.23
BH23 4,310.89,129.72
BH23 5,313.93,130.39
BH23 6,327.1,130.72
BH23 7,313.67,128.8
BH23 8,315.79,127.91
BH23 9,296.62,125.95
BH24 1,342.8,130.05
BH24 2,337.73,130.85
BH24 3,328.32,127.9
BH24 4,319.42,127.21
BH24 9,345.21,130.53
BH25 5,298.99,125.35
BH25 6,294.83,126.35
BH25 7,296.19,126.85
BH25 9,290.01,125.43
BH3 7,287.24,124.37
BH31 6,315.43,124.23
BH31 7,307.93,123.36
BH4 0,278.07,122.83
BH4 8,269.92,121.15
BH4 9,277.67,122.49
BH5 1,288.1,125.62
BH5 2,290.26,126.2
BH6 3,291.12,126.41
BH6 4,300.31,128.86
BH6 5,310.77,129.97
BH7 6,311.8,129.84
BH7 7,314.89,130.19
BH8 0,325.84,131.43
BH8 8,283.29,123.99
BH8 9,312.33,129.45
BH9 1,295.36,126.15
BH9 2,291.35,125.09
BH9 3,322.28,130.62
BL0 0,105.84,48.92
BL0 9,121.68,58.61
BL1 1,154.2,82.8
BL1 2,144.29,75.16
BL1 3,138.19,70.78
BL1 4,142.44,74.08
BL1 5,131.46,65.57
BL1 6,127.71,62.7
BL1 7,110.2,50.96
BL1 8,141.85,73.07
BL1 9,144.29,75.16
BL2 1,159.91,86.49
BL2 2,153.38,81.74
BL2 3,140.25,72.58
BL2 4,126.47,63.05
BL2 5,136.75,71.11
BL2 6,148.93,79.35
BL3 1,158.93,85.63
BL3 2,152.49,81.73
BL3 3,135.21,69.35
BL3 4,137.35,70.03
BL3 5,145.24,75.88
BL3 6,154.21,82.81
BL4 0,144.94,76.51
BL4 7,153.76,82.26
BL4 8,153.01,81.4
BL4 9,147.55,77.92
BL5 1,143.32,74.82
BL5 2,152.84,80.84
BL5 3,140.22,71.81
BL6 4,138.64,70.1
BL6 5,141.89,72.68
BL6 6,107.79,49.37
BL6 7,118.91,57.29
BL6 9,137.39,69.61
BL7 0,101.7,45.24
BL7 8,93.13,40.4
BL7 9,106.93,48.58
BL8 1,148.4,78.52
BL8 2,161.74,87.94
BL8 3,119.36,58.25
BL8 4,109.9,50.97
BL8 9,174.96,94.99
BL9 0,163.22,87.76
BL9 5,128.91,64.52
BL9 6,121.06,59.08
BL9 7,153.65,80.69
BL9 8,162.84,86.74
BL9 9,172.92,93.0
BN1 1,243.98,118.7
BN1 2,239.48,116.67
BN1 3,243.93,118.69
BN1 4,245.89,117.61
BN1 5,247.18,115.39
BN1 6,259.03,119.95
BN1 7,239.0,114.38
BN1 8,250.24,115.68
BN1 9,242.44,112.53
BN10 7,253.56,117.89
BN10 8,266.58,120.78
BN10 9,264.5,120.42
BN11 1,271.7,124.98
BN11 2,272.36,125.54
BN11 3,264.33,124.01
BN11 4,271.88,124.67
BN11 5,263.91,122.93
BN11 9,271.7,124.98
BN12 4,268.85,123.66
BN12 5,279.22,124.7
BN12 6,288.49,126.54
BN12 9,268.81,123.64
BN13 1,273.55,124.74
BN13 2,285.07,126.42
BN13 3,276.34,121.29
BN14 0,253.19,115.75
BN14 7,275.32,125.41
BN14 8,286.22,127.72
BN14 9,282.1,125.93
BN15 0,264.83,120.41
BN15 5,280.84,125.8
BN15 8,277.9,125.3
BN15 9,283.69,126.15
BN16 1,287.38,125.67
BN16 2,288.5,125.98
BN16 3,311.49,129.78
BN16 4,293.85,125.23
BN16 9,311.49,129.78
BN17 5,297.49,127.72
BN17 6,305.59,128.6
BN17 7,317.68,130.32
BN18 0,299.84,125.43
BN18 8,305.77,126.03
BN18 9,308.81,126.36
BN2 0,274.13,125.93
BN2 1,278.37,127.0
